underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2016-12-06,VIX,2016-12-06,23,C,0.15,0.15,0.1,0.1,1471,23569,0.05,290,0.1,14.24,14.24,19054,0.05,303,0.1,14.2,14.2,0.1056,147764,
^VIX,2016-12-07,VIX,2016-12-07,23,P,7.3,7.3,7.3,7.3,150,5534,7.8,17253,8,14.24,14.24,7739,7.7,4550,7.9,14.2,14.2,7.3,8552,
^VIX,2016-12-08,VIX,2016-12-08,24,C,0.1,0.1,0.1,0.1,2122,19188,0.05,20713,0.1,14.24,14.24,14278,0.05,12949,0.1,14.2,14.2,0.1,123357,
^VIX,2016-12-09,VIX,2016-12-09,24,P,8.74,8.74,8.74,8.74,250,1642,8.8,15615,9,14.24,14.24,6348,8.7,9915,8.9,14.2,14.2,8.74,4551,
^VIX,2016-12-10,VIX,2016-12-10,25,C,0.15,0.15,0.08,0.1,10145,10282,0.05,24301,0.1,14.24,14.24,7596,0.05,17235,0.1,14.2,14.2,0.0803,374224,
^VIX,2016-12-11,VIX,2016-12-11,25,P,0,0,0,0,0,533,9.8,13351,10,14.24,14.24,4806,9.7,7996,9.9,14.2,14.2,0,11467,
^VIX,2016-12-12,VIX,2016-12-12,26,C,0.1,0.1,0.1,0.1,1,2856,0.05,25677,0.1,14.24,14.24,3317,0.05,19615,0.1,14.2,14.2,0.1,140506,
^VIX,2016-12-13,VIX,2016-12-13,26,P,0,0,0,0,0,533,10.8,15005,11,14.24,14.24,3746,10.7,7977,10.9,14.2,14.2,0,2127,
^VIX,2016-12-14,VIX,2016-12-14,27,C,0.05,0.05,0.05,0.05,3,649,0.05,28097,0.1,14.24,14.24,619,0.05,21234,0.1,14.2,14.2,0.05,106791,
^VIX,2016-12-15,VIX,2016-12-15,27,P,11.2,11.2,11.2,11.2,1,15902,11.7,14706,12,14.24,14.24,3105,11.7,8819,11.9,14.2,14.2,11.2,634,
^VIX,2016-12-16,VIX,2016-12-16,28,C,0.05,0.05,0.05,0.05,613,0,0,200,0.05,14.24,14.24,0,0,197,0.05,14.2,14.2,0.05,119238,
